Title: 天空の城ラピュタ, Release date: 1986
Title: 火垂るの墓, Release date: 1988
Title: となりのトトロ, Release date: 1988
Title: 魔女の宅急便, Release date: 1989
Title: おもひでぽろぽろ, Release date: 1991
Title: 紅の豚, Release date: 1992
Title: 平成狸合戦ぽんぽこ, Release date: 1994
Title: 耳をすませば, Release date: 1995
Title: もののけ姫, Release date: 1997
Title: ホーホケキョ となりの山田くん, Release date: 1999
Title: 千と千尋の神隠し, Release date: 2001
Title: 猫の恩返し, Release date: 2002
Title: ハウルの動く城, Release date: 2004
Title: ゲド戦記, Release date: 2006
Title: 崖の上のポニョ, Release date: 2008
Title: 借りぐらしのアリエッティ, Release date: 2010
Title: コクリコ坂から, Release date: 2011
Title: 風立ちぬ, Release date: 2013
Title: かぐや姫の物語, Release date: 2013
Title: 思い出のマーニー, Release date: 2014
Title: レッドタートル ある島の物語, Release date: 2016
